BillNumber,FirstName,Surname,Address1,City1,Enterprise,Address2,City2,Object,Date,Row1,Row11,Row2,Row12,Row3,Row13,Row4,Row14,Row5,Row15,Row6,Row16,Row7,Row17
1521,Elgan,Jones,"501 Old Walnut wood Ave. Fort Plain,","New York, United States",Aneka Tambang (Persero),"501 Old Walnut wood Ave. Fort Plain,","New York, United States",VIsite de chantier et consultation,15 mai 2020,perseverance,15,beachcomber,15,evolutionarily,20,deportee,27,,22,32,19,37,16
1522,Merdie,Wang,"64 Littleton Rd. Collins Center,","New York, States",China Vanke Co,"32 Littleton Rd. Collins Center,","New York, United States","25 years later,",16 mai 2020,cognizable,29,underhanded,36,services,27,testing,15,marquant,36,25,23,29,33
1523,Keymara,Smith,Address1,City1,Boeing,Address2,City2,Object,17 mai 2020,lurker,18,adulteration,32,pubes,34,sick,30,violatrice,25,24,24,40,13
1524,Allahna,Johnson,"389 West Frost Drive Mahopac Falls,","New York, United States",Volkswagen,"389 West Frost Drive Mahopac Falls,","New York, United States",His son quipped that power bars were nothing more than adult candy bars.,19 mai 2020,bimetallism,16,healthy,22,cameraman,12,adulterous,35,,37,38,28,20,42
1525,Dimitric,Rodriguez,"15 S. Lower Ave. Parksville,","New York, United States",Walmart,"15 S. Lower Ave. Parksville,","New York, United States",She felt that chill that makes the hairs on the back of your neck when he walked into the room.,20 mai 2020,batiste,28,contravene,42,self-interest,42,trampling,21,,31,33,42,13,39
1526,Rhoen,Nguyen,"334 Maple Lane Springwater,","New York, United States",Airbus,"334 Maple Lane Springwater,","New York, United States",They're playing the piano while flying in the plane.,4 mai 2020,unlicensed,22,breezy,16,genteelly,0,bedtime,17,,0,21,41,17,27
1527,Jalanie,Wolfram,"51 Old Ivory Rd. Pierrepont Manor,","New York, United States",,"51 Old Ivory Rd. Pierrepont Manor,","New York, United States",A suit of armor provides ,22 mai 2020,detoxification,32,pare,43,yacht,37,commonness,33,scrutatrice,43,12,42,43,38
1528,Sible,Brown,"692 Wellness Road Huntington,","New York, United States",China Petroleum \& Chem,"692 Wellness Road Huntington,","New York, United States",He spiked his hair gre,23 mai 2020,splendid,16,invitingly,31,rabies,38,fizz,16,obligerons,29,40,31,18,30
1529,Shawnese,Garcia,"8404 Bright Ave. Maple View,","New York, United States",China Railway Group,"8404 Bright Ave. Maple View,","New York, United States",Doris enjoyed tapping her nails on the table to annoy everyone.,24 mai 2020,audacity,36,gay,21,forbiddingly,24,despising,40,revendait,20,14,35,39,19
1530,Elverna,Zhang,"5 Jennings Ave.Apt 14 Oswegatchie,","New York, United States",Samsung Electronics Co,"4 Jennings Ave.Apt 14 Oswegatchie,","New York, United States",Pink horses galloped across the sea.,8 mai 2020,preposition,850,promote,21,jellylike,33,40,36,contenter,38,23,33,25,19
1531,Elverna,Zhang,"5 Jennings Ave.Apt 14 Oswegatchie,","New York, United States",Samsung Electronics Co,"4 Jennings Ave.Apt 14 Oswegatchie,","New York, United States",Pink horses galloped across the sea.,8 mai 2020,preposition,850,promote,21,jellylike,33,40,36,contenter,38,23,33,25,19
